index,name,description,brand,category,mrp_price,currency,stock,ean,color,availability,internal_id,qty,selling_price,discount,discount_percentage,revenue,stock_value
1,Smart Fan Iron Cooker Go Wireless Portable,Catch enough role nearly.,Herman Ltd,Kids' Clothing,585.0,INR,194,3968600000000.0,Cornsilk,limited_stock,54,548,345.15,239.85,41.0,189142.2,66959.1
2,Fan,All movement yeah tax me.,"Braun, King and Rollins",Grooming Tools,992.0,INR,724,191127000000.0,Bisque,discontinued,49,228,585.28,406.72,41.0,133443.84,423742.72
3,Smart Speakerphone Charger Eco Plus Clean,Quickly inside pull line lay start.,Peck-Coleman,Fishing & Hunting,940.0,INR,769,7569140000000.0,Blue,pre_order,42,520,601.6,338.4,36.0,312832.0,462630.4
4,Premium Grill Trimmer Portable,Lawyer one than fire.,Hines Ltd,Skincare,324.0,INR,93,2705140000000.0,Ivory,out_of_stock,93,251,178.2,145.8,45.0,44728.2,16572.6
5,Keyboard Freezer,Remain Congress blood plan voice.,"Spence, Webster and Orr",Laptops & Computers,908.0,INR,614,9830390000000.0,FloralWhite,discontinued,91,602,572.04,335.96,37.0,344368.08,351232.56
6,Smart Fridge Plus,Tell tend provide government voice.,"Marks, Guzman and Cooley",Kitchen Appliances,627.0,INR,901,3039250000000.0,LightSalmon,pre_order,29,187,351.12,275.88,44.0,65659.44,316359.12
7,Compact Dock One Portable Wireless,Push role risk must get performance color.,Newman-Barajas,Fishing & Hunting,385.0,INR,366,6194770000000.0,MediumPurple,out_of_stock,23,132,281.05,103.95,27.0,37098.6,102864.3
8,Premium Cooler Digital Portable X,Fall opportunity southern drive professor top.,"Gutierrez, Singleton and Downs",Skincare,296.0,INR,609,6978360000000.0,PaleGreen,in_stock,6,471,198.32,97.68,33.0,93408.72,120776.88
9,Compact Fan Scooter Headphones,Medical myself his piece agree.,Weber and Sons,Clothing & Apparel,870.0,INR,930,2666730000000.0,DarkBlue,limited_stock,6,301,635.1,234.9,27.0,191165.1,590643.0
10,Eco Dock Air,Know hope enjoy budget have.,Humphrey and Sons,Beauty & Personal Care,602.0,INR,923,3726210000000.0,SandyBrown,in_stock,11,362,325.08,276.92,46.0,117678.96,300048.84
11,Thermostat Stove Lamp,Pull perhaps customer available.,Moreno-Weaver,Kids' Clothing,707.0,INR,257,6886780000000.0,Thistle,discontinued,33,524,487.83,219.17,31.0,255622.92,125372.31
12,Mini Powerbank Lite Plus,Still can tell.,"Gentry, Vincent and Saunders",Makeup,499.0,INR,108,9632710000000.0,OldLace,pre_order,22,443,444.11,54.89,11.0,196740.73,47963.88
13,Scooter Bicycle Oven,Deal event item ever financial home.,Mclean-Aguilar,Laptops & Computers,79.0,INR,203,227868000000.0,LightSkyBlue,in_stock,58,192,55.3,23.7,30.0,10617.6,11225.9
14,Fan,It minute eight mother often focus ever.,Mcdaniel LLC,Toys & Games,897.0,INR,338,1326980000000.0,MediumBlue,limited_stock,67,975,753.48,143.52,16.0,734643.0,254676.24
15,Wireless Light Heater Clock X,Sing statement show future size hard hope.,Sosa LLC,Grooming Tools,581.0,INR,877,4749140000000.0,DarkTurquoise,limited_stock,84,62,540.33,40.67,7.0,33500.46,473869.41
16,Ultra Powerbank Scale Automatic,Against or catch tough nor wait reason.,Macias Group,Fishing & Hunting,223.0,INR,62,6282370000000.0,Azure,pre_order,93,777,202.93,20.07,9.0,157676.61,12581.66
17,Projector,Party everybody bill work condition behind great share.,Ali Group,Men's Clothing,699.0,INR,762,3359910000000.0,DeepSkyBlue,in_stock,89,299,363.48,335.52,48.0,108680.52,276971.76
18,Blender,Bit dog upon sometimes trade.,Gray-Deleon,Camping & Hiking,881.0,INR,34,2045940000000.0,DarkSeaGreen,discontinued,83,919,704.8,176.2,20.0,647711.2,23963.2
19,Wireless Speakerphone Oven Advanced,Something the interview actually book white easy.,"Yates, Logan and Cervantes",Grooming Tools,601.0,INR,26,4270230000000.0,BlanchedAlmond,out_of_stock,76,74,462.77,138.23,23.0,34244.98,12032.02
20,Iron Microphone,High see avoid draw check.,"Acosta, Sullivan and Chaney",Men's Clothing,261.0,INR,80,1846210000000.0,OldLace,discontinued,45,429,161.82,99.18,38.0,69420.78,12945.6
21,Lock,Who seven meeting ball trouble ago cover.,Mullins-Dodson,Fishing & Hunting,350.0,INR,842,651020000000.0,LavenderBlush,in_stock,22,124,206.5,143.5,41.0,25606.0,173873.0
22,Automatic Speaker Wireless Plus Edge,Near physical blood number never and.,Farrell-Ramos,Cleaning Supplies,726.0,INR,215,8872340000000.0,LemonChiffon,limited_stock,69,666,522.72,203.28,28.0,348131.52,112384.8
23,Eco Treadmill Plus Smart,Despite truth develop cover move serve describe it.,Bautista-Allen,Headphones & Earbuds,756.0,INR,148,3581170000000.0,SaddleBrown,discontinued,65,129,551.88,204.12,27.0,71192.52,81678.24
24,Smart Microphone Clock Ultra One,Open section note all.,Larson LLC,Home & Kitchen,17.0,INR,687,8108500000000.0,CadetBlue,pre_order,1,950,9.52,7.48,44.0,9044.0,6540.24
25,Digital Router Scanner One,Suffer event thought entire add.,"Bryan, Benitez and Barton",Haircare,257.0,INR,130,3287430000000.0,DarkSalmon,in_stock,27,82,143.92,113.08,44.0,11801.44,18709.6
26,Pro Stove Light,Mention nature whom discuss minute successful.,"Brock, Lawrence and Pennington",Fishing & Hunting,263.0,INR,867,3636000000000.0,HoneyDew,pre_order,4,163,184.1,78.9,30.0,30008.3,159614.7
27,Clean Mixer Ultra Eco,Serious source open threat.,"Luna, Davidson and Galvan",Grooming Tools,951.0,INR,190,7547660000000.0,DarkRed,discontinued,33,489,542.07,408.93,43.0,265072.23,102993.3
28,Ultra Fan,Structure training receive name collection stuff west.,Fleming PLC,Kids' Clothing,931.0,INR,31,6232470000000.0,Peru,discontinued,2,928,800.66,130.34,14.0,743012.48,24820.46
29,Ultra Drone Smart,Conference imagine apply decade care return.,Aguirre-Mercado,Headphones & Earbuds,809.0,INR,250,194013000000.0,AntiqueWhite,backorder,25,505,687.65,121.35,15.0,347263.25,171912.5
30,Smart Lock Mini Pro,Three development base reveal smile morning military.,Branch Ltd,Cleaning Supplies,989.0,INR,879,9292260000000.0,DarkCyan,discontinued,91,497,583.51,405.49,41.0,290004.47,512905.29
31,Rechargeable Keyboard Toaster Monitor Portable Fast,Parent these not.,Carter-Holland,Cameras & Accessories,962.0,INR,546,1884260000000.0,LightGray,discontinued,24,506,548.34,413.66,43.0,277460.04,299393.64
32,Mini Mixer Freezer Trimmer Smart,Impact prepare religious public everyone allow often.,Pollard-Branch,Bedding & Bath,399.0,INR,88,358171000000.0,RoyalBlue,backorder,36,896,223.44,175.56,44.0,200202.24,19662.72
33,Heater Cooker,Station shoulder get suggest tax.,"Preston, Bowen and Singh",Haircare,285.0,INR,840,4811470000000.0,CornflowerBlue,pre_order,40,405,145.35,139.65,49.0,58866.75,122094.0
