Index,Name,Description,Brand,Category,MRP_Price,Currency,Stock,EAN,Color,Availability,Internal ID,Qty,Selling_price
1,Smart Fan Iron Cooker Go Wireless Portable,Catch enough role nearly.,Herman Ltd,Kids' Clothing,585,INR,194,3.9686E+12,Cornsilk,limited_stock,54,548,345.15
2,Fan,All movement yeah tax me.,"Braun, King and Rollins",Grooming Tools,992,INR,724,1.91127E+11,Bisque,discontinued,49,228,585.28
3,Smart Speakerphone Charger Eco Plus Clean,Quickly inside pull line lay start.,Peck-Coleman,Fishing & Hunting,940,INR,769,7.56914E+12,Blue,pre_order,42,520,601.6
4,Premium Grill Trimmer Portable,Lawyer one than fire.,Hines Ltd,Skincare,324,INR,93,2.70514E+12,Ivory,out_of_stock,93,251,178.2
5,Keyboard Freezer,Remain Congress blood plan voice.,"Spence, Webster and Orr",Laptops & Computers,908,INR,614,9.83039E+12,FloralWhite,discontinued,91,602,572.04
6,Smart Fridge Plus,Tell tend provide government voice.,"Marks, Guzman and Cooley",Kitchen Appliances,627,INR,901,3.03925E+12,LightSalmon,pre_order,29,187,351.12
7,Compact Dock One Portable Wireless,Push role risk must get performance color.,Newman-Barajas,Fishing & Hunting,385,INR,366,6.19477E+12,MediumPurple,out_of_stock,23,132,281.05
8,Premium Cooler Digital Portable X,Fall opportunity southern drive professor top.,"Gutierrez, Singleton and Downs",Skincare,296,INR,609,6.97836E+12,PaleGreen,in_stock,6,471,198.32
9,Compact Fan Scooter Headphones,Medical myself his piece agree.,Weber and Sons,Clothing & Apparel,870,INR,930,2.66673E+12,DarkBlue,limited_stock,6,301,635.1
10,Eco Dock Air,Know hope enjoy budget have.,Humphrey and Sons,Beauty & Personal Care,602,INR,923,3.72621E+12,SandyBrown,in_stock,11,362,325.08
11,Thermostat Stove Lamp,Pull perhaps customer available.,Moreno-Weaver,Kids' Clothing,707,INR,257,6.88678E+12,Thistle,discontinued,33,524,487.83
12,Mini Powerbank Lite Plus,Still can tell.,"Gentry, Vincent and Saunders",Makeup,499,INR,108,9.63271E+12,OldLace,pre_order,22,443,444.11
13,Scooter Bicycle Oven,Deal event item ever financial home.,Mclean-Aguilar,Laptops & Computers,79,INR,203,2.27868E+11,LightSkyBlue,in_stock,58,192,55.3
14,Fan,It minute eight mother often focus ever.,Mcdaniel LLC,Toys & Games,897,INR,338,1.32698E+12,MediumBlue,limited_stock,67,975,753.48
15,Wireless Light Heater Clock X,Sing statement show future size hard hope.,Sosa LLC,Grooming Tools,581,INR,877,4.74914E+12,DarkTurquoise,limited_stock,84,62,540.33
16,Ultra Powerbank Scale Automatic,Against or catch tough nor wait reason.,Macias Group,Fishing & Hunting,223,INR,62,6.28237E+12,Azure,pre_order,93,777,202.93
17,Projector,Party everybody bill work condition behind great share.,Ali Group,Men's Clothing,699,INR,762,3.35991E+12,DeepSkyBlue,in_stock,89,299,363.48
18,Blender,Bit dog upon sometimes trade.,Gray-Deleon,Camping & Hiking,881,INR,34,2.04594E+12,DarkSeaGreen,discontinued,83,919,704.8
19,Wireless Speakerphone Oven Advanced,Something the interview actually book white easy.,"Yates, Logan and Cervantes",Grooming Tools,601,INR,26,4.27023E+12,BlanchedAlmond,out_of_stock,76,74,462.77
20,Iron Microphone,High see avoid draw check.,"Acosta, Sullivan and Chaney",Men's Clothing,261,INR,80,1.84621E+12,OldLace,discontinued,45,429,161.82
21,Lock,Who seven meeting ball trouble ago cover.,Mullins-Dodson,Fishing & Hunting,350,INR,842,6.5102E+11,LavenderBlush,in_stock,22,124,206.5
22,Automatic Speaker Wireless Plus Edge,Near physical blood number never and.,Farrell-Ramos,Cleaning Supplies,726,INR,215,8.87234E+12,LemonChiffon,limited_stock,69,666,522.72
23,Eco Treadmill Plus Smart,Despite truth develop cover move serve describe it.,Bautista-Allen,Headphones & Earbuds,756,INR,148,3.58117E+12,SaddleBrown,discontinued,65,129,551.88
24,Smart Microphone Clock Ultra One,Open section note all.,Larson LLC,Home & Kitchen,17,INR,687,8.1085E+12,CadetBlue,pre_order,1,950,9.52
25,Digital Router Scanner One,Suffer event thought entire add.,"Bryan, Benitez and Barton",Haircare,257,INR,130,3.28743E+12,DarkSalmon,in_stock,27,82,143.92
26,Pro Stove Light,Mention nature whom discuss minute successful.,"Brock, Lawrence and Pennington",Fishing & Hunting,263,INR,867,3.636E+12,HoneyDew,pre_order,4,163,184.1
27,Clean Mixer Ultra Eco,Serious source open threat.,"Luna, Davidson and Galvan",Grooming Tools,951,INR,190,7.54766E+12,DarkRed,discontinued,33,489,542.07
28,Ultra Fan,Structure training receive name collection stuff west.,Fleming PLC,Kids' Clothing,931,INR,31,6.23247E+12,Peru,discontinued,2,928,800.66
29,Ultra Drone Smart,Conference imagine apply decade care return.,Aguirre-Mercado,Headphones & Earbuds,809,INR,250,1.94013E+11,AntiqueWhite,backorder,25,505,687.65
30,Smart Lock Mini Pro,Three development base reveal smile morning military.,Branch Ltd,Cleaning Supplies,989,INR,879,9.29226E+12,DarkCyan,discontinued,91,497,583.51
31,Rechargeable Keyboard Toaster Monitor Portable Fast,Parent these not.,Carter-Holland,Cameras & Accessories,962,INR,546,1.88426E+12,LightGray,discontinued,24,506,548.34
32,Mini Mixer Freezer Trimmer Smart,Impact prepare religious public everyone allow often.,Pollard-Branch,Bedding & Bath,399,INR,88,3.58171E+11,RoyalBlue,backorder,36,896,223.44
33,Heater Cooker,Station shoulder get suggest tax.,"Preston, Bowen and Singh",Haircare,285,INR,840,4.81147E+12,CornflowerBlue,pre_order,40,405,145.35
34,Fast Shaver X One,Concern current war still sit a draw with.,"Cunningham, Barr and Ponce",Cleaning Supplies,894,INR,860,6.31387E+11,Red,pre_order,92,434,536.4
